target_gene,method,feature_set,k,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN2A,frozen_esm_knn,delta_site,5,32,14,18,0.5,0.5317460317460317,0.4817813765182186,0.38461538461538464,0.625,0.2777777777777778,0.746031746031746,0.7266214177978885
SCN2A,frozen_esm_knn,wt_mut_site,1,32,14,18,0.65625,0.6626984126984128,0.6559139784946236,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.6626984126984128,0.6668981481481481
SCN2A,frozen_esm_knn,wt_mut_site,3,32,14,18,0.71875,0.7261904761904762,0.718475073313783,0.7272727272727273,0.8,0.6666666666666666,0.7896825396825397,0.7899288781535159
SCN2A,frozen_esm_knn,wt_mut_site,5,32,14,18,0.75,0.753968253968254,0.7490196078431373,0.7647058823529411,0.8125,0.7222222222222222,0.7658730158730158,0.7430787811222594
SCN3A,frozen_esm_knn,wt_site,1,12,2,10,0.8333333333333334,0.9,0.7777777777777777,0.8888888888888888,1.0,0.8,0.9,0.9666666666666667
SCN3A,frozen_esm_knn,wt_site,3,12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.875,0.9633333333333334
SCN3A,frozen_esm_knn,wt_site,5,12,2,10,0.5833333333333334,0.55,0.4957983193277311,0.7058823529411765,0.8571428571428571,0.6,0.775,0.9493506493506493
SCN3A,frozen_esm_knn,mutant_site,1,12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.85,0.95
SCN3A,frozen_esm_knn,mutant_site,3,12,2,10,0.8333333333333334,0.9,0.7777777777777777,0.8888888888888888,1.0,0.8,0.9,0.9733333333333333
SCN3A,frozen_esm_knn,mutant_site,5,12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.875,0.9707070707070707
SCN3A,frozen_esm_knn,delta_site,1,12,2,10,0.6666666666666666,0.6,0.5555555555555556,0.7777777777777778,0.875,0.7,0.6,0.8625
SCN3A,frozen_esm_knn,delta_site,3,12,2,10,0.8333333333333334,0.9,0.7777777777777777,0.8888888888888888,1.0,0.8,0.8500000000000001,0.9651515151515151
SCN3A,frozen_esm_knn,delta_site,5,12,2,10,0.5,0.7,0.4857142857142857,0.5714285714285714,1.0,0.4,0.775,0.9333333333333333
SCN3A,frozen_esm_knn,wt_mut_site,1,12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.85,0.95
SCN3A,frozen_esm_knn,wt_mut_site,3,12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.875,0.9633333333333334
SCN3A,frozen_esm_knn,wt_mut_site,5,12,2,10,0.6666666666666666,0.8,0.625,0.75,1.0,0.6,0.9,0.9636363636363636
SCN4A,frozen_esm_knn,wt_site,1,31,13,18,0.7419354838709677,0.7564102564102564,0.7416666666666667,0.75,0.8571428571428571,0.6666666666666666,0.7564102564102564,0.7649769585253456
SCN4A,frozen_esm_knn,wt_site,3,31,13,18,0.8387096774193549,0.8397435897435898,0.8359788359788359,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8504273504273503,0.8460126033687071
SCN4A,frozen_esm_knn,wt_site,5,31,13,18,0.8387096774193549,0.8504273504273505,0.8380355276907001,0.8484848484848485,0.9333333333333333,0.7777777777777778,0.8354700854700854,0.8675360720522011
SCN4A,frozen_esm_knn,mutant_site,1,31,13,18,0.7419354838709677,0.7457264957264957,0.7394957983193278,0.7647058823529411,0.8125,0.7222222222222222,0.7457264957264957,0.7480958781362008
SCN4A,frozen_esm_knn,mutant_site,3,31,13,18,0.8387096774193549,0.8397435897435898,0.8359788359788359,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8632478632478632,0.8873000813228518
SCN4A,frozen_esm_knn,mutant_site,5,31,13,18,0.8387096774193549,0.8397435897435898,0.8359788359788359,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8696581196581197,0.9094117647058824
SCN4A,frozen_esm_knn,delta_site,1,31,13,18,0.7741935483870968,0.7841880341880342,0.7732497387669801,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.7841880341880343,0.787216248506571
SCN4A,frozen_esm_knn,delta_site,3,31,13,18,0.6774193548387096,0.7008547008547008,0.6770833333333333,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.7799145299145298,0.7967025089605736
SCN4A,frozen_esm_knn,delta_site,5,31,13,18,0.7096774193548387,0.717948717948718,0.7084639498432602,0.7272727272727273,0.8,0.6666666666666666,0.7628205128205128,0.7532828282828283
SCN4A,frozen_esm_knn,wt_mut_site,1,31,13,18,0.7419354838709677,0.7457264957264957,0.7394957983193278,0.7647058823529411,0.8125,0.7222222222222222,0.7457264957264957,0.7480958781362008
SCN4A,frozen_esm_knn,wt_mut_site,3,31,13,18,0.8387096774193549,0.8397435897435898,0.8359788359788359,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8760683760683761,0.8924893365121069
SCN4A,frozen_esm_knn,wt_mut_site,5,31,13,18,0.8709677419354839,0.8782051282051282,0.8697478991596639,0.8823529411764706,0.9375,0.8333333333333334,0.8888888888888888,0.9266203703703704
SCN5A,frozen_esm_knn,wt_site,1,157,117,40,0.5987261146496815,0.6567307692307692,0.5813333333333333,0.496,0.36470588235294116,0.775,0.6567307692307692,0.3399718995878606
SCN5A,frozen_esm_knn,wt_site,3,157,117,40,0.5286624203821656,0.6014957264957265,0.5183250414593699,0.44776119402985076,0.3191489361702128,0.75,0.6441239316239317,0.3503769743651687
SCN5A,frozen_esm_knn,wt_site,5,157,117,40,0.5477707006369427,0.6389957264957264,0.5403109406573467,0.48175182481751827,0.3402061855670103,0.825,0.6592948717948718,0.3395152462366721
SCN5A,frozen_esm_knn,mutant_site,1,157,117,40,0.5987261146496815,0.6402777777777777,0.5764569862544426,0.4793388429752066,0.35802469135802467,0.725,0.6402777777777777,0.32963159550208376
SCN5A,frozen_esm_knn,mutant_site,3,157,117,40,0.5796178343949044,0.6521367521367522,0.5668060200668896,0.49230769230769234,0.35555555555555557,0.8,0.6938034188034188,0.3845615136017069
SCN5A,frozen_esm_knn,mutant_site,5,157,117,40,0.5477707006369427,0.622542735042735,0.5369501100818344,0.46616541353383456,0.3333333333333333,0.775,0.6847222222222222,0.4005076677592154
SCN5A,frozen_esm_knn,delta_site,1,157,117,40,0.5477707006369427,0.5731837606837606,0.522673746413737,0.4132231404958678,0.30864197530864196,0.625,0.5731837606837606,0.2884426358417866
SCN5A,frozen_esm_knn,delta_site,3,157,117,40,0.5859872611464968,0.6152777777777778,0.5602240896358543,0.453781512605042,0.34177215189873417,0.675,0.6471153846153846,0.3624816972915056
SCN5A,frozen_esm_knn,delta_site,5,157,117,40,0.6178343949044586,0.6366452991452991,0.5868421052631578,0.47368421052631576,0.36486486486486486,0.675,0.656517094017094,0.35896876160080876
SCN5A,frozen_esm_knn,wt_mut_site,1,157,117,40,0.6242038216560509,0.6738247863247864,0.6033486061747955,0.512396694214876,0.38271604938271603,0.775,0.6738247863247863,0.35392977903593614
SCN5A,frozen_esm_knn,wt_mut_site,3,157,117,40,0.5222929936305732,0.605448717948718,0.5144129654831127,0.45255474452554745,0.31958762886597936,0.775,0.6544871794871795,0.35429302626623277
SCN5A,frozen_esm_knn,wt_mut_site,5,157,117,40,0.554140127388535,0.6514957264957265,0.5475131752305665,0.4927536231884058,0.3469387755102041,0.85,0.6641025641025641,0.3471543717971332
SCN8A,frozen_esm_knn,wt_site,1,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8035714285714285,0.8256029684601113
SCN8A,frozen_esm_knn,wt_site,3,22,8,14,0.7727272727272727,0.7678571428571428,0.7603485838779956,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.7589285714285714,0.8108739999496302
SCN8A,frozen_esm_knn,wt_site,5,22,8,14,0.7727272727272727,0.7678571428571428,0.7603485838779956,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.7455357142857143,0.8104728604728604
SCN8A,frozen_esm_knn,mutant_site,1,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8035714285714285,0.8256029684601113
SCN8A,frozen_esm_knn,mutant_site,3,22,8,14,0.7727272727272727,0.7678571428571428,0.7603485838779956,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.7544642857142858,0.8177863802863803
SCN8A,frozen_esm_knn,mutant_site,5,22,8,14,0.8181818181818182,0.8303571428571428,0.811965811965812,0.8461538461538461,0.9166666666666666,0.7857142857142857,0.8169642857142857,0.8738095238095236
SCN8A,frozen_esm_knn,delta_site,1,22,8,14,0.7727272727272727,0.7678571428571428,0.7603485838779956,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.7678571428571428,0.8011988011988012
SCN8A,frozen_esm_knn,delta_site,3,22,8,14,0.6363636363636364,0.6875,0.6363636363636364,0.6363636363636364,0.875,0.5,0.7901785714285714,0.8237781954887218
SCN8A,frozen_esm_knn,delta_site,5,22,8,14,0.5909090909090909,0.6517857142857143,0.5900621118012422,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.78125,0.8120658789831723
SCN8A,frozen_esm_knn,wt_mut_site,1,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8035714285714285,0.8256029684601113
SCN8A,frozen_esm_knn,wt_mut_site,3,22,8,14,0.7727272727272727,0.7678571428571428,0.7603485838779956,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.7589285714285714,0.8108739999496302
SCN8A,frozen_esm_knn,wt_mut_site,5,22,8,14,0.8181818181818182,0.8303571428571428,0.811965811965812,0.8461538461538461,0.9166666666666666,0.7857142857142857,0.8035714285714286,0.8634370015948962
