config_id,outer_target_gene,model_name,C,gamma,n_estimators,max_depth,min_samples_leaf,n_inner_validation_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_default_accuracy_mean,inner_default_balanced_accuracy_mean,inner_default_roc_auc_mean,inner_default_gof_f1_mean
25,SCN1A,random_forest,0.0,none,300,3,10,6,0.4747375130376572,0.5888888888888889,0.6315744486865349,0.6647672232036014,0.6262626262626263,0.6257654687931296,0.5956756206756207,0.6691468253968252,0.6693356199048798
22,SCN1A,random_forest,0.0,none,300,3,1,6,0.4937358727887888,0.5925925925925926,0.6287537751438829,0.658214143256026,0.6180555555555556,0.6299122310011974,0.6009640822140822,0.6711258648758648,0.6761730793739184
28,SCN1A,random_forest,0.0,none,300,5,5,6,0.4646593447649396,0.5888888888888889,0.627129750982962,0.6533135791213176,0.6185567010309279,0.5866954292254786,0.5647410459910459,0.6419006919006919,0.6136619747167416
3,SCN1A,logistic_regression,10.0,none,0,none,0,6,0.4440166096548783,0.6037037037037037,0.6262180181206907,0.6146219157786769,0.6022304832713755,0.613757937137971,0.600986975986976,0.5978123728123729,0.6357460622166504
7,SCN1A,linear_svm,1.0,none,0,none,0,6,-0.7537728837887857,0.5740740740740741,0.6235967861416605,0.6246509772636617,0.6254071661237784,0.5711161530551042,0.5748371998371998,0.6189000814000813,0.596412379524334
21,SCN1A,random_forest,0.0,none,300,2,10,6,0.48157298069942783,0.5740740740740741,0.6221152202404695,0.6586130263832698,0.6229508196721312,0.6334529416831143,0.5953093203093204,0.6547339234839235,0.6828065973939519
8,SCN1A,linear_svm,10.0,none,0,none,0,6,-0.6623678959225032,0.5777777777777777,0.6207761125990086,0.6019716223146617,0.6174496644295302,0.606253164997001,0.5916514041514042,0.6043014855514856,0.6237205208466317
5,SCN1A,linear_svm,0.01,none,0,none,0,6,0.7960831820300247,0.6481481481481481,0.6160749900279219,0.6565616274431593,0.5077720207253886,0.5848112831624235,0.6145528083028083,0.7078525641025641,0.6061210466071002
27,SCN1A,random_forest,0.0,none,300,5,3,6,0.4460238066913538,0.5703703703703704,0.6160464983759758,0.6479001652515813,0.6158940397350994,0.6015031400921066,0.5764931827431828,0.6609712047212047,0.6411195286195287
31,SCN1A,random_forest,0.0,none,300,,3,6,0.5680970634799718,0.6037037037037037,0.615847056812354,0.6338252891902674,0.5803921568627451,0.5774088221437718,0.5595009157509157,0.6372303622303623,0.6021461710560311
26,SCN1A,random_forest,0.0,none,300,5,1,6,0.6099509962877523,0.6074074074074074,0.6056185537637473,0.622827511539119,0.5508474576271186,0.6050613295996746,0.5902803215303215,0.6622761497761499,0.6348046794475365
16,SCN1A,rbf_svm,10.0,0.01,0,none,0,6,0.14849799149143506,0.5888888888888889,0.6004615647615249,0.6154766653370563,0.5647058823529412,0.6139356439367997,0.5960241147741148,0.6134640822140821,0.6545109211775878
4,SCN1A,logistic_regression,100.0,none,0,none,0,6,0.19837319083765603,0.5444444444444444,0.5987520656447661,0.5894922787623226,0.6095238095238096,0.6015998735557755,0.586749592999593,0.592742673992674,0.6309862976529642
30,SCN1A,random_forest,0.0,none,300,,1,6,0.635,0.6,0.5934811100347598,0.5868710467832925,0.5304347826086957,0.5840522027341423,0.5810159747659748,0.6291921041921041,0.6028888018112156
15,SCN1A,rbf_svm,10.0,scale,0,none,0,6,0.10700163392588968,0.5740740740740741,0.5835945068095048,0.5768989686021996,0.5454545454545454,0.5581052589797709,0.549587912087912,0.556033781033781,0.5946977813490469
14,SCN1A,rbf_svm,1.0,0.1,0,none,0,6,0.3451986726757802,0.6037037037037037,0.553621288962334,0.516781582996182,0.3742690058479532,0.5788100467381851,0.620980870980871,0.6311660561660561,0.5699273839362244
17,SCN1A,rbf_svm,10.0,0.1,0,none,0,6,0.4347857660842809,0.5925925925925926,0.532451991566471,0.49091116302923254,0.3037974683544304,0.551363004661366,0.5938263125763126,0.5934167684167685,0.5319164854905459
11,SCN1A,rbf_svm,0.1,0.1,0,none,0,6,0.8757856636982015,0.5962962962962963,0.5118525272095276,0.3757479058635819,0.128,0.36740582317940035,0.5,0.6887388074888076,0.18768189509306263
9,SCN2A,rbf_svm,0.1,scale,0,none,0,6,0.1677301825065201,0.7558528428093646,0.6824846443431742,0.6941252229046958,0.5575757575757576,0.6529756283663073,0.650614861329147,0.7327795220652363,0.5541549953314658
13,SCN2A,rbf_svm,1.0,0.01,0,none,0,6,0.46182044182594506,0.725752508361204,0.680255597384585,0.6767881910045572,0.5729166666666666,0.634143547473577,0.6642624571196,0.6778631751846037,0.562858808645156
0,SCN2A,logistic_regression,0.01,none,0,none,0,6,0.6811247842859289,0.7658862876254181,0.6763176144244105,0.7099266891222509,0.5333333333333333,0.639191652833733,0.6557841298912729,0.7159773097273098,0.6026537307742473
