seed,model_family,feature_set,input_dim,best_validation_threshold,test_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_accuracy_optimized,test_precision_optimized,test_recall_optimized,test_f1_optimized,best_epoch,best_validation_auc
3,custom_nn,wt_plus_mut_plus_biochem,704,0.38499999999999995,0.8449230769230769,0.7716981132075472,0.6721311475409836,0.8,0.7305122494432071,0.7471698113207547,0.63003663003663,0.8390243902439024,0.7196652719665272,7.0,0.8669910881801125
4,logistic_regression,wt_site_only,320,0.37999999999999995,0.804683257918552,0.7504725897920604,0.6512605042016807,0.7598039215686274,0.7013574660633484,0.7429111531190926,0.6349206349206349,0.7843137254901961,0.7017543859649122,,
4,logistic_regression,mutant_site_only,320,0.36999999999999994,0.8109954751131222,0.7429111531190926,0.6545454545454545,0.7058823529411765,0.6792452830188679,0.7353497164461248,0.6290322580645161,0.7647058823529411,0.6902654867256637,,
4,logistic_regression,wt_plus_mut_site,640,0.175,0.7653695324283559,0.6994328922495274,0.6086956521739131,0.6176470588235294,0.6131386861313869,0.6994328922495274,0.5882352941176471,0.7352941176470589,0.6535947712418301,,
4,logistic_regression,biochem_only,64,0.5049999999999999,0.6906184012066365,0.6521739130434783,0.5495049504950495,0.5441176470588235,0.5467980295566502,0.6521739130434783,0.5495049504950495,0.5441176470588235,0.5467980295566502,,
4,logistic_regression,wt_plus_mut_plus_biochem,704,0.19,0.7868325791855203,0.7069943289224953,0.6139534883720931,0.6470588235294118,0.630071599045346,0.7069943289224953,0.596078431372549,0.7450980392156863,0.6623093681917211,,
4,custom_nn,wt_site_only,320,0.5099999999999999,0.8445022624434388,0.7372400756143668,0.631578947368421,0.7647058823529411,0.6917960088691796,0.7391304347826086,0.6375,0.75,0.6891891891891891,1.0,0.8532090608777725
4,custom_nn,mutant_site_only,320,0.33999999999999997,0.8494419306184012,0.7882797731568998,0.73,0.7156862745098039,0.7227722772277227,0.7599243856332704,0.6533864541832669,0.803921568627451,0.7208791208791209,6.0,0.8583294006606891
4,custom_nn,wt_plus_mut_site,640,0.21999999999999997,0.8342081447963801,0.7712665406427222,0.7085427135678392,0.6911764705882353,0.6997518610421837,0.722117202268431,0.6043956043956044,0.8088235294117647,0.6918238993710691,5.0,0.870422369042001
4,custom_nn,biochem_only,64,0.4549999999999999,0.708733031674208,0.6635160680529301,0.5590909090909091,0.6029411764705882,0.5801886792452831,0.6313799621928167,0.5159010600706714,0.7156862745098039,0.5995893223819302,2.0,0.7054034922133081
4,custom_nn,wt_plus_mut_plus_biochem,704,0.39499999999999996,0.8282956259426848,0.77882797731569,0.7081339712918661,0.7254901960784313,0.7167070217917676,0.7674858223062382,0.6753246753246753,0.7647058823529411,0.7172413793103448,9.0,0.879672015101463
5,logistic_regression,wt_site_only,320,0.30999999999999994,0.7657466063348417,0.7051039697542533,0.5983606557377049,0.7156862745098039,0.6517857142857143,0.6635160680529301,0.5445205479452054,0.7794117647058824,0.6411290322580645,,
5,logistic_regression,mutant_site_only,320,0.185,0.7700075414781298,0.7069943289224953,0.6,0.7205882352941176,0.6547884187082406,0.6521739130434783,0.5316455696202531,0.8235294117647058,0.6461538461538462,,
5,logistic_regression,wt_plus_mut_site,640,0.05,0.7580920060331825,0.6994328922495274,0.5982532751091703,0.6715686274509803,0.6327944572748267,0.6257088846880907,0.5088757396449705,0.8431372549019608,0.6346863468634686,,
5,logistic_regression,biochem_only,64,0.35999999999999993,0.6569683257918553,0.6275992438563327,0.5148936170212766,0.5931372549019608,0.55125284738041,0.5198487712665406,0.43315508021390375,0.7941176470588235,0.5605536332179931,,
5,logistic_regression,wt_plus_mut_plus_biochem,704,0.22499999999999998,0.7665082956259427,0.7164461247637051,0.6125,0.7205882352941176,0.6621621621621622,0.6767485822306238,0.5578947368421052,0.7794117647058824,0.6503067484662577,,
5,custom_nn,wt_site_only,320,0.33999999999999997,0.8298944193061841,0.7391304347826086,0.6352459016393442,0.7598039215686274,0.6919642857142857,0.7069943289224953,0.5787781350482315,0.8823529411764706,0.6990291262135923,7.0,0.827075515947467
5,custom_nn,mutant_site_only,320,0.31999999999999995,0.8389215686274509,0.7391304347826086,0.627906976744186,0.7941176470588235,0.7012987012987013,0.7032136105860114,0.5755627009646302,0.8774509803921569,0.6951456310679611,5.0,0.855358818011257
5,custom_nn,wt_plus_mut_site,640,0.145,0.8087556561085973,0.7334593572778828,0.6245059288537549,0.7745098039215687,0.6914660831509847,0.6880907372400756,0.5635179153094463,0.8480392156862745,0.6771037181996086,13.0,0.8597678236397748
5,custom_nn,biochem_only,64,0.32499999999999996,0.662654600301659,0.610586011342155,0.49586776859504134,0.5882352941176471,0.5381165919282511,0.47448015122873344,0.4151376146788991,0.8872549019607843,0.565625,3.0,0.6949460600375235
5,custom_nn,wt_plus_mut_plus_biochem,704,0.35999999999999993,0.8370211161387632,0.7466918714555766,0.6495726495726496,0.7450980392156863,0.6940639269406392,0.7145557655954632,0.5956678700361011,0.8088235294117647,0.6860706860706861,3.0,0.8725023452157599
6,logistic_regression,wt_site_only,320,0.12,0.7875647279549716,0.7150943396226415,0.6310679611650486,0.6341463414634146,0.6326034063260341,0.6849056603773584,0.5612903225806452,0.848780487804878,0.6757281553398058,,
6,logistic_regression,mutant_site_only,320,0.6649999999999999,0.787076923076923,0.720754716981132,0.6233766233766234,0.7024390243902439,0.6605504587155964,0.7339622641509433,0.6616161616161617,0.6390243902439025,0.6501240694789082,,
6,logistic_regression,wt_plus_mut_site,640,0.075,0.7716322701688555,0.7,0.6116504854368932,0.6146341463414634,0.6131386861313869,0.6773584905660377,0.5570469798657718,0.8097560975609757,0.6600397614314115,,
6,logistic_regression,biochem_only,64,0.35999999999999993,0.6294484052532834,0.5867924528301887,0.4722222222222222,0.5804878048780487,0.5207877461706784,0.539622641509434,0.44281524926686217,0.7365853658536585,0.5531135531135531,,
6,logistic_regression,wt_plus_mut_plus_biochem,704,0.235,0.7657185741088179,0.7037735849056603,0.6188118811881188,0.6097560975609756,0.6142506142506142,0.6830188679245283,0.5780590717299579,0.6682926829268293,0.6199095022624435,,
6,custom_nn,wt_site_only,320,0.36999999999999994,0.8519549718574109,0.7679245283018868,0.6898148148148148,0.7268292682926829,0.7078384798099763,0.7547169811320755,0.6482213438735178,0.8,0.7161572052401747,6.0,0.8528905143935819
6,custom_nn,mutant_site_only,320,0.5499999999999999,0.82928330206379,0.7415094339622641,0.640495867768595,0.7560975609756098,0.6935123042505593,0.7396226415094339,0.6515837104072398,0.7024390243902439,0.676056338028169,2.0,0.8653492213308165
6,custom_nn,wt_plus_mut_site,640,0.6599999999999999,0.8570506566604127,0.7679245283018868,0.6653225806451613,0.8048780487804879,0.7284768211920529,0.7867924528301887,0.7233009708737864,0.7268292682926829,0.7250608272506083,3.0,0.8644289759320435
6,custom_nn,biochem_only,64,0.41999999999999993,0.6440675422138835,0.6150943396226415,0.5021834061135371,0.5609756097560976,0.5299539170506913,0.5716981132075472,0.46381578947368424,0.6878048780487804,0.5540275049115914,3.0,0.6653964134025484
6,custom_nn,wt_plus_mut_plus_biochem,704,0.575,0.844547842401501,0.7490566037735849,0.6565217391304348,0.7365853658536585,0.6942528735632184,0.7603773584905661,0.7010309278350515,0.6634146341463415,0.681704260651629,2.0,0.870422369042001
7,logistic_regression,wt_site_only,320,0.30999999999999994,0.8159474671669794,0.730188679245283,0.6359649122807017,0.7073170731707317,0.6697459584295612,0.7132075471698113,0.606425702811245,0.7365853658536585,0.6651982378854625,,
7,logistic_regression,mutant_site_only,320,0.185,0.808202626641651,0.7396226415094339,0.6587677725118484,0.6780487804878049,0.6682692307692307,0.7037735849056603,0.581081081081081,0.8390243902439024,0.6866267465069861,,
7,logistic_regression,wt_plus_mut_site,640,0.41999999999999993,0.7930731707317074,0.730188679245283,0.6631578947368421,0.6146341463414634,0.6379746835443038,0.730188679245283,0.655,0.6390243902439025,0.6469135802469136,,
7,logistic_regression,biochem_only,64,0.36999999999999994,0.6567129455909944,0.6339622641509434,0.5263157894736842,0.5365853658536586,0.5314009661835749,0.5169811320754717,0.43672456575682383,0.8585365853658536,0.5789473684210527,,
7,logistic_regression,wt_plus_mut_plus_biochem,704,0.12499999999999999,0.8014183864915572,0.7377358490566037,0.6736842105263158,0.624390243902439,0.6481012658227848,0.7018867924528301,0.5893536121673004,0.7560975609756098,0.6623931623931624,,
7,custom_nn,wt_site_only,320,0.5399999999999999,0.876360225140713,0.7849056603773585,0.6952789699570815,0.7902439024390244,0.7397260273972602,0.7943396226415095,0.7222222222222222,0.7609756097560976,0.7410926365795725,3.0,0.8611401370022059
7,custom_nn,mutant_site_only,320,0.48499999999999993,0.8539662288930581,0.7716981132075472,0.6721311475409836,0.8,0.7305122494432071,0.7716981132075472,0.6693548387096774,0.8097560975609757,0.7328918322295805,3.0,0.8375595030767443
7,custom_nn,wt_plus_mut_site,640,0.4099999999999999,0.8411181988742965,0.7641509433962265,0.6851851851851852,0.7219512195121951,0.7030878859857482,0.769811320754717,0.6812227074235808,0.7609756097560976,0.7188940092165899,6.0,0.8671543016370602
7,custom_nn,biochem_only,64,0.36999999999999994,0.6396622889305816,0.6245283018867924,0.5144230769230769,0.5219512195121951,0.5181598062953995,0.5113207547169811,0.42819148936170215,0.7853658536585366,0.5542168674698795,6.0,0.6767212353419251
7,custom_nn,wt_plus_mut_plus_biochem,704,0.5149999999999999,0.8600900562851782,0.7754716981132076,0.6837606837606838,0.7804878048780488,0.7289293849658315,0.7773584905660378,0.6883116883116883,0.775609756097561,0.7293577981651376,3.0,0.8637524672007431
8,logistic_regression,wt_site_only,320,0.21499999999999997,0.785448879300012,0.7056603773584905,0.6008064516129032,0.7233009708737864,0.6563876651982379,0.7056603773584905,0.5856164383561644,0.8300970873786407,0.6867469879518072,,
8,logistic_regression,mutant_site_only,320,0.09,0.7930300851012826,0.7150943396226415,0.6150627615062761,0.7135922330097088,0.6606741573033708,0.6679245283018868,0.5433526011560693,0.912621359223301,0.6811594202898551,,
8,logistic_regression,wt_plus_mut_site,640,0.16499999999999998,0.7971503056454513,0.7320754716981132,0.6441441441441441,0.6941747572815534,0.6682242990654206,0.7075471698113207,0.5947955390334573,0.7766990291262136,0.6736842105263158,,
8,logistic_regression,biochem_only,64,0.22999999999999998,0.6577445163610212,0.6320754716981132,0.5248868778280543,0.5631067961165048,0.5433255269320844,0.4188679245283019,0.39880952380952384,0.9757281553398058,0.5661971830985916,,
8,logistic_regression,wt_plus_mut_plus_biochem,704,0.05,0.8058252427184467,0.7358490566037735,0.6542056074766355,0.6796116504854369,0.6666666666666666,0.7132075471698113,0.5924657534246576,0.8398058252427184,0.6947791164658634,,
8,custom_nn,wt_site_only,320,0.49499999999999994,0.8263064844780055,0.7245283018867924,0.6071428571428571,0.8252427184466019,0.6995884773662552,0.7245283018867924,0.6071428571428571,0.8252427184466019,0.6995884773662552,1.0,0.8773006134969326
8,custom_nn,mutant_site_only,320,0.5599999999999999,0.8203883495145631,0.7075471698113207,0.5977011494252874,0.7572815533980582,0.6680942184154176,0.7396226415094339,0.6545454545454545,0.6990291262135923,0.676056338028169,1.0,0.8708470976875884
8,custom_nn,wt_plus_mut_site,640,0.575,0.8239991609732709,0.6924528301886792,0.5728813559322034,0.8203883495145631,0.6746506986027944,0.720754716981132,0.6178861788617886,0.7378640776699029,0.672566371681416,1.0,0.8718853232656913
8,custom_nn,biochem_only,64,0.31999999999999995,0.6525005993048065,0.6509433962264151,0.5704697986577181,0.41262135922330095,0.4788732394366197,0.4547169811320755,0.4118895966029724,0.941747572815534,0.5731166912850812,1.0,0.6363025011798018
8,custom_nn,wt_plus_mut_plus_biochem,704,0.6,0.8229353949418674,0.7018867924528301,0.5833333333333334,0.8155339805825242,0.680161943319838,0.7509433962264151,0.6712962962962963,0.7038834951456311,0.6872037914691943,1.0,0.8828810759792355
9,logistic_regression,wt_site_only,320,0.38999999999999996,0.7430694183864917,0.6641509433962264,0.5627906976744186,0.5902439024390244,0.5761904761904761,0.6754716981132075,0.5726872246696035,0.6341463414634146,0.6018518518518519,,
9,logistic_regression,mutant_site_only,320,0.635,0.7753846153846153,0.7188679245283018,0.6386138613861386,0.6292682926829268,0.6339066339066339,0.7113207547169811,0.6511627906976745,0.5463414634146342,0.5941644562334217,,
9,logistic_regression,wt_plus_mut_site,640,0.06,0.7623714821763601,0.7,0.6127450980392157,0.6097560975609756,0.6112469437652812,0.6716981132075471,0.5521885521885522,0.8,0.6533864541832669,,
9,logistic_regression,biochem_only,64,0.36999999999999994,0.6792570356472796,0.6528301886792452,0.5497630331753555,0.5658536585365853,0.5576923076923077,0.5433962264150943,0.45118733509234826,0.8341463414634146,0.5856164383561644,,
9,logistic_regression,wt_plus_mut_plus_biochem,704,0.09999999999999999,0.7728930581613508,0.6981132075471698,0.6130653266331658,0.5951219512195122,0.6039603960396039,0.6773584905660377,0.5620437956204379,0.751219512195122,0.6430062630480167,,
9,custom_nn,wt_site_only,320,0.59,0.8234296435272044,0.730188679245283,0.6139705882352942,0.8146341463414634,0.70020964360587,0.7603773584905661,0.672566371681416,0.7414634146341463,0.7053364269141531,3.0,0.8774067956583294
9,custom_nn,mutant_site_only,320,0.6449999999999999,0.8317748592870544,0.7509433962264151,0.6454183266932271,0.7902439024390244,0.7105263157894737,0.7660377358490567,0.7142857142857143,0.6585365853658537,0.6852791878172588,3.0,0.8663874469089193
9,custom_nn,wt_plus_mut_site,640,0.585,0.8497861163227017,0.7584905660377359,0.6463878326996197,0.8292682926829268,0.7264957264957265,0.7830188679245284,0.7122641509433962,0.7365853658536585,0.7242206235011991,2.0,0.8740325625294949
9,custom_nn,biochem_only,64,0.4649999999999999,0.6812382739212008,0.6358490566037736,0.5232558139534884,0.6585365853658537,0.5831533477321814,0.6056603773584905,0.4931506849315068,0.7024390243902439,0.579476861167002,7.0,0.6960004719207173
9,custom_nn,wt_plus_mut_plus_biochem,704,0.42499999999999993,0.8405253283302063,0.7490566037735849,0.6475409836065574,0.7707317073170732,0.7037861915367484,0.7433962264150943,0.632183908045977,0.8048780487804879,0.7081545064377682,3.0,0.8901958470976875
