feature_set,pca_dim,model_name,C,gamma,n_inner_genes,mean_accuracy,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_average_precision,outer_target_gene
wt_mut_site,16,linear_svm,10.0,none,6,0.7019334006377899,0.7203380283737427,0.7616750973893831,0.7126706616123092,0.8129112749894897,SCN5A
mutant_site,16,rbf_svm,1.0,scale,6,0.7197676627459151,0.7199935316006744,0.7891912320483749,0.7032645444410152,0.8319796008736744,SCN5A
delta_site,64,linear_svm,0.1,none,6,0.6632471929768334,0.7167095470666899,0.7675911390197104,0.6754901960784313,0.8178103364103791,SCN5A
wt_mut_site,8,rbf_svm,1.0,scale,6,0.7020029252065872,0.7163748619105762,0.7209674254317111,0.7064855128684916,0.7513439300325869,SCN5A
mutant_site,64,rbf_svm,1.0,scale,6,0.7061578736866284,0.7144234403162973,0.7643856474213617,0.7385556047320754,0.8186810065542841,SCN5A
wt_mut_site,128,logistic_regression,0.01,none,6,0.7139099048389768,0.7132187917902204,0.7715706581778011,0.7297750699119868,0.8340482166423867,SCN5A
wt_mut_site,16,linear_svm,0.01,none,6,0.6973971103152091,0.7126050206407349,0.7608901680330252,0.7066009272531012,0.8117365941541238,SCN5A
delta_site,64,logistic_regression,1.0,none,6,0.6760497291796869,0.7106296150939008,0.7792124542124542,0.6724945533769063,0.82715809937354,SCN5A
delta_site,128,rbf_svm,1.0,scale,6,0.6653769149720367,0.7105351328565614,0.8028141170998314,0.639901083935653,0.8231249282131646,SCN5A
delta_site,128,logistic_regression,0.01,none,6,0.7127947574635835,0.7104595470666899,0.7746722193150765,0.703760411874747,0.8117319007147782,SCN5A
delta_site,64,rbf_svm,10.0,scale,6,0.7010171452761352,0.7104261148904006,0.8153835252049538,0.6831711896228025,0.8445505973496413,SCN5A
wt_mut_site,64,rbf_svm,1.0,scale,6,0.7008614035649995,0.7096993284493284,0.7295674893889178,0.7378772602003091,0.7980093004425836,SCN5A
mutant_site,32,rbf_svm,1.0,scale,6,0.7010376771415904,0.7086509390080818,0.7589307517878946,0.7210062612539393,0.8166341971389378,SCN5A
wt_mut_site,8,rbf_svm,1.0,0.01,6,0.7328106554706237,0.7071250508750508,0.859486743415315,0.7507081913041665,0.8299858707864393,SCN5A
wt_mut_site,128,rbf_svm,10.0,scale,6,0.7093332184884273,0.706969881969882,0.8110162654805512,0.7450098500007756,0.8398508351414296,SCN5A
delta_site,64,rbf_svm,1.0,scale,6,0.6547530934677286,0.7060610355253213,0.7943081719867434,0.6253244409541261,0.8197077293411078,SCN5A
wt_site,8,rbf_svm,1.0,scale,6,0.6944271676308297,0.7059581952439095,0.7399271033199605,0.7053899117728905,0.7532476646499785,SCN5A
mutant_site,16,linear_svm,0.1,none,6,0.6968642833677867,0.7056605761962905,0.7202344613058899,0.7050108379055748,0.7904796750889495,SCN5A
