outer_target_gene,inner_validation_gene,actual_pca_dim,feature_set,pca_dim,model_name,C,gamma,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN2A,SCN4A,32,delta_site,32,rbf_svm,0.1,scale,31,13,18,0.41935483870967744,0.5,0.29545454545454547,0.0,0.0,0.0,0.9059829059829061,0.9379282754282756
SCN2A,SCN5A,32,delta_site,32,rbf_svm,0.1,scale,157,117,40,0.7515923566878981,0.5125,0.4529616724738676,0.04878048780487805,1.0,0.025,0.5993589743589743,0.39137802795155796
SCN2A,SCN8A,32,delta_site,32,rbf_svm,0.1,scale,22,8,14,0.5454545454545454,0.6160714285714286,0.5416666666666667,0.5,0.8333333333333334,0.35714285714285715,0.7053571428571428,0.7660079999365713
SCN2A,SCN10A,32,delta_site,32,rbf_svm,0.1,0.01,16,7,9,0.5625,0.5,0.36,0.72,0.5625,1.0,0.6349206349206349,0.7249999999999999
SCN2A,SCN1A,32,delta_site,32,rbf_svm,0.1,0.01,61,49,12,0.19672131147540983,0.5,0.1643835616438356,0.3287671232876712,0.19672131147540983,1.0,0.5629251700680271,0.29457917685737944
SCN2A,SCN3A,32,delta_site,32,rbf_svm,0.1,0.01,12,2,10,0.8333333333333334,0.5,0.45454545454545453,0.9090909090909091,0.8333333333333334,1.0,0.95,0.9909090909090909
SCN2A,SCN4A,32,delta_site,32,rbf_svm,0.1,0.01,31,13,18,0.41935483870967744,0.5,0.29545454545454547,0.0,0.0,0.0,0.7948717948717949,0.856352722614445
SCN2A,SCN5A,32,delta_site,32,rbf_svm,0.1,0.01,157,117,40,0.7452229299363057,0.5,0.42700729927007297,0.0,0.0,0.0,0.6128205128205128,0.4502956767745736
SCN2A,SCN8A,32,delta_site,32,rbf_svm,0.1,0.01,22,8,14,0.36363636363636365,0.5,0.26666666666666666,0.0,0.0,0.0,0.7946428571428571,0.8887807453983922
SCN2A,SCN10A,32,delta_site,32,rbf_svm,0.1,0.1,16,7,9,0.5625,0.5,0.36,0.72,0.5625,1.0,0.5714285714285714,0.6665404040404039
SCN2A,SCN1A,32,delta_site,32,rbf_svm,0.1,0.1,61,49,12,0.19672131147540983,0.5,0.1643835616438356,0.3287671232876712,0.19672131147540983,1.0,0.5391156462585034,0.29031322052876224
SCN2A,SCN3A,32,delta_site,32,rbf_svm,0.1,0.1,12,2,10,0.8333333333333334,0.5,0.45454545454545453,0.9090909090909091,0.8333333333333334,1.0,0.85,0.9697979797979798
SCN2A,SCN4A,32,delta_site,32,rbf_svm,0.1,0.1,31,13,18,0.41935483870967744,0.5,0.29545454545454547,0.0,0.0,0.0,0.8247863247863247,0.8587595139065729
SCN2A,SCN5A,32,delta_site,32,rbf_svm,0.1,0.1,157,117,40,0.7452229299363057,0.5,0.42700729927007297,0.0,0.0,0.0,0.5530982905982906,0.4350021748668327
SCN2A,SCN8A,32,delta_site,32,rbf_svm,0.1,0.1,22,8,14,0.36363636363636365,0.5,0.26666666666666666,0.0,0.0,0.0,0.7678571428571429,0.8550940790989441
SCN2A,SCN10A,32,delta_site,32,rbf_svm,1.0,scale,16,7,9,0.5,0.5079365079365079,0.5,0.5,0.5714285714285714,0.4444444444444444,0.5238095238095238,0.664524827024827
SCN2A,SCN1A,32,delta_site,32,rbf_svm,1.0,scale,61,49,12,0.6229508196721312,0.6079931972789117,0.5538950715421304,0.3783783783783784,0.28,0.5833333333333334,0.6037414965986394,0.25924263261867386
SCN2A,SCN3A,32,delta_site,32,rbf_svm,1.0,scale,12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.8,0.9651515151515152
SCN2A,SCN4A,32,delta_site,32,rbf_svm,1.0,scale,31,13,18,0.7419354838709677,0.7777777777777778,0.7394957983193278,0.7142857142857143,1.0,0.5555555555555556,0.8931623931623931,0.9439270152505448
SCN2A,SCN5A,32,delta_site,32,rbf_svm,1.0,scale,157,117,40,0.6114649681528662,0.599465811965812,0.5676102758589553,0.42990654205607476,0.34328358208955223,0.575,0.6418803418803419,0.44203329521183243
SCN2A,SCN8A,32,delta_site,32,rbf_svm,1.0,scale,22,8,14,0.5454545454545454,0.6160714285714286,0.5416666666666667,0.5,0.8333333333333334,0.35714285714285715,0.7946428571428572,0.8563096450701493
SCN2A,SCN10A,32,delta_site,32,rbf_svm,1.0,0.01,16,7,9,0.4375,0.46825396825396826,0.41700404858299595,0.3076923076923077,0.5,0.2222222222222222,0.5714285714285714,0.6657687991021324
SCN2A,SCN1A,32,delta_site,32,rbf_svm,1.0,0.01,61,49,12,0.7213114754098361,0.4804421768707483,0.4701073071027082,0.10526315789473684,0.14285714285714285,0.08333333333333333,0.5612244897959184,0.2935142358021975
SCN2A,SCN3A,32,delta_site,32,rbf_svm,1.0,0.01,12,2,10,0.5,0.7,0.4857142857142857,0.5714285714285714,1.0,0.4,0.95,0.9909090909090909
