target_gene,method,hidden_dim,proj_dim,k,n_seeds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_gof_f1,std_gof_f1,mean_final_loss
SCN1A,frozen_esm_wt_mut,1024,128,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,1024,256,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,1024,512,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,256,64,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,256,128,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,256,256,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,256,512,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,512,64,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,512,128,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,512,256,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,512,512,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,1024,64,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,1024,128,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
