setting,feature_a,feature_b,k,metric,n_queries,value_a,value_b,diff_a_minus_b,bootstrap_95ci_low,bootstrap_95ci_high,paired_permutation_p_two_sided
global_all_348_cross_gene,wt_mut_site,mutant_site,5,roc_auc,348,0.6849033816425121,0.6957211870255349,-0.010817805383022794,-0.037123224756320475,0.01523404882406319,0.41529235382308843
global_all_348_cross_gene,wt_mut_site,mutant_site,5,gof_f1,348,0.6181818181818182,0.6,0.018181818181818188,-0.013237181390377427,0.049782681721303186,0.2938530734632684
global_all_348_cross_gene,wt_mut_site,delta_site,1,accuracy,348,0.6695402298850575,0.6063218390804598,0.06321839080459768,0.0,0.12643678160919536,0.051974012993503245
global_all_348_cross_gene,wt_mut_site,delta_site,1,balanced_accuracy,348,0.6752587991718426,0.6030020703933747,0.0722567287784679,0.010921291342482849,0.1370226497696547,0.01649175412293853
global_all_348_cross_gene,wt_mut_site,delta_site,1,roc_auc,348,0.6752587991718426,0.6030020703933747,0.0722567287784679,0.010921291342482957,0.1370226497696547,0.01649175412293853
global_all_348_cross_gene,wt_mut_site,delta_site,1,gof_f1,348,0.627831715210356,0.5418060200668896,0.08602569514346636,0.01629311636312899,0.1588294724842902,0.009495252373813094
global_all_348_cross_gene,wt_mut_site,delta_site,3,accuracy,348,0.6206896551724138,0.6063218390804598,0.014367816091954033,-0.051724137931034475,0.0776580459770112,0.7201399300349826
global_all_348_cross_gene,wt_mut_site,delta_site,3,balanced_accuracy,348,0.6372670807453416,0.5980331262939959,0.0392339544513457,-0.02819343267827352,0.1031166083104026,0.2273863068465767
global_all_348_cross_gene,wt_mut_site,delta_site,3,roc_auc,348,0.6834368530020705,0.6244133885438234,0.05902346445824702,-0.006146610942752131,0.12046577832346286,0.07146426786606697
global_all_348_cross_gene,wt_mut_site,delta_site,3,gof_f1,348,0.6,0.5292096219931272,0.07079037800687282,-0.006217430834863871,0.14528158640446312,0.054972513743128434
global_all_348_cross_gene,wt_mut_site,delta_site,5,accuracy,348,0.6379310344827587,0.603448275862069,0.034482758620689724,-0.028735632183907955,0.0977011494252874,0.31984007996002
global_all_348_cross_gene,wt_mut_site,delta_site,5,balanced_accuracy,348,0.65527950310559,0.5906832298136646,0.06459627329192541,0.0023690644218167085,0.13010681357302611,0.0559720139930035
global_all_348_cross_gene,wt_mut_site,delta_site,5,roc_auc,348,0.6849033816425121,0.6257763975155279,0.05912698412698414,-0.005935391720144159,0.1289596460141233,0.09545227386306847
global_all_348_cross_gene,wt_mut_site,delta_site,5,gof_f1,348,0.6181818181818182,0.5140845070422535,0.10409731113956466,0.03392393474860018,0.18015576172502082,0.0069965017491254375
heldout_SCN1A,wt_mut_site,wt_site,1,accuracy,61,0.7377049180327869,0.7213114754098361,0.016393442622950838,-0.049180327868852514,0.08196721311475419,1.0
heldout_SCN1A,wt_mut_site,wt_site,1,balanced_accuracy,61,0.7423469387755102,0.6692176870748299,0.0731292517006803,-0.022222222222222258,0.19999999999999996,0.4492753623188406
heldout_SCN1A,wt_mut_site,wt_site,1,roc_auc,61,0.7423469387755102,0.6692176870748299,0.0731292517006803,-0.022222222222222254,0.19999999999999984,0.4492753623188406
heldout_SCN1A,wt_mut_site,wt_site,1,gof_f1,61,0.5294117647058824,0.45161290322580644,0.07779886148007592,-0.038461538461538436,0.23809523809523808,0.4492753623188406
heldout_SCN1A,wt_mut_site,wt_site,3,accuracy,61,0.6721311475409836,0.639344262295082,0.032786885245901565,-0.032786885245901565,0.09836065573770492,0.6316841579210395
heldout_SCN1A,wt_mut_site,wt_site,3,balanced_accuracy,61,0.7644557823129252,0.6811224489795918,0.08333333333333337,-0.010000000000000009,0.20833333333333337,0.37631184407796103
