outer_target_gene,feature_set,pca_dim,model_name,C,gamma,n_inner_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_tuned_macro_f1,inner_default_accuracy,inner_default_balanced_accuracy,inner_default_roc_auc,inner_default_gof_f1
SCN10A,wt_mut_site,64,logistic_regression,0.1,none,6,0.5216042330497607,0.6984126984126984,0.7079741379310345,0.7690446868402533,0.6360153256704981,0.6892813755723765,0.6857142857142857,0.698121921182266,0.7690446868402533,0.6264150943396226
SCN10A,wt_mut_site,8,rbf_svm,1.0,0.01,6,-0.008930691498511095,0.692063492063492,0.7030480295566502,0.754442294159043,0.6311787072243346,0.6834367650563089,0.6888888888888889,0.6965825123152709,0.754442294159043,0.6230769230769231
SCN10A,wt_mut_site,8,rbf_svm,0.1,0.01,6,-0.23876922557686986,0.6857142857142857,0.7021243842364532,0.7444141449683321,0.6319702602230484,0.678866016538117,0.7301587301587301,0.666564039408867,0.7444141449683321,0.5405405405405406
SCN10A,wt_mut_site,64,rbf_svm,0.1,0.01,6,-0.6143660884696427,0.7396825396825397,0.6999692118226601,0.6922941590429276,0.6057692307692307,0.70572821728035,0.6761904761904762,0.5886699507389163,0.6922941590429276,0.3855421686746988
SCN10A,wt_mut_site,64,linear_svm,0.1,none,6,0.4208897493830176,0.7174603174603175,0.6967364532019704,0.7393121041520058,0.611353711790393,0.6947042873166429,0.6857142857142857,0.6821120689655172,0.7393121041520058,0.6024096385542169
SCN10A,wt_mut_site,8,rbf_svm,0.1,0.1,6,-0.5884924590938923,0.7396825396825397,0.6959667487684729,0.7002551020408163,0.5980392156862745,0.7027754763877382,0.6761904761904762,0.5886699507389163,0.7002551020408163,0.3855421686746988
SCN10A,wt_mut_site,128,linear_svm,0.1,none,6,0.8596558384054231,0.7365079365079366,0.6955049261083743,0.6999472202674173,0.5990338164251208,0.7014081611676432,0.6698412698412698,0.6677955665024631,0.6999472202674173,0.5873015873015873
SCN10A,wt_mut_site,16,rbf_svm,0.1,0.1,6,-0.6327698006562038,0.7428571428571429,0.6944273399014778,0.6960767065446869,0.592964824120603,0.7025148946589095,0.6761904761904762,0.5886699507389163,0.6960767065446869,0.3855421686746988
SCN10A,wt_mut_site,64,linear_svm,1.0,none,6,0.1882185166148932,0.6952380952380952,0.6935036945812808,0.7095795214637579,0.616,0.6816842105263158,0.6761904761904762,0.6787253694581281,0.7095795214637579,0.6015625
SCN10A,wt_mut_site,16,rbf_svm,10.0,0.01,6,0.12078908075053679,0.7396825396825397,0.6919642857142857,0.7101073187895849,0.59,0.6996511627906976,0.6761904761904762,0.6547105911330049,0.7101073187895849,0.5603448275862069
SCN10A,wt_mut_site,32,rbf_svm,1.0,0.01,6,0.012892580680020735,0.7333333333333333,0.6870381773399015,0.6939215341308937,0.5841584158415841,0.6939483667992967,0.7174603174603175,0.6747229064039408,0.6939215341308937,0.5700483091787439
SCN10A,wt_mut_site,8,rbf_svm,1.0,0.1,6,0.01910652322155573,0.7396825396825397,0.6799568965517242,0.6787913441238564,0.5638297872340425,0.6891547126215462,0.7333333333333333,0.6770320197044335,0.6787913441238564,0.5625
SCN10A,wt_mut_site,128,rbf_svm,10.0,0.01,6,0.09216358896034127,0.7619047619047619,0.6791871921182266,0.6575035186488388,0.5398773006134969,0.6896388644395108,0.7428571428571429,0.6664100985221675,0.6575035186488388,0.5263157894736842
SCN10A,wt_mut_site,64,logistic_regression,1.0,none,6,0.2502651458753846,0.6349206349206349,0.6787253694581281,0.7265570021111893,0.6179401993355482,0.6341980631936099,0.6444444444444445,0.6540948275862069,0.7265570021111893,0.5789473684210527
SCN10A,wt_mut_site,64,rbf_svm,10.0,0.01,6,0.006115197878315655,0.7365079365079366,0.677493842364532,0.6742171006333568,0.5608465608465608,0.6863189720332578,0.5904761904761905,0.5882081280788178,0.6742171006333568,0.5019305019305019
SCN10A,wt_mut_site,16,rbf_svm,10.0,0.1,6,0.34630218257089085,0.7619047619047619,0.677185960591133,0.6587350457424349,0.5341614906832298,0.6871233892648558,0.546031746031746,0.5557266009852218,0.6587350457424349,0.48
