region,term.id,term,pval,OR_adj,OR_adj_lo,OR_adj_hi
Domain IV,FENICS:0003,Component leading to Gain-of-Function (GoF),0.2583,1.48,0.74,3.1
Domain II-III,FENICS:0027,Hyperpolarizing shift of voltage dependence of activation,0.2606,2.2,0.42,10.64
Domain III-IV,FENICS:0038,Effect on persistent current,0.267,1.83,0.56,5.63
Domain IV,FENICS:0039,Decrease in persistent current,0.2686,2.98,0.21,42.07
Domain III,FENICS:0037,Effect on fast inactivation,0.2716,1.9,0.69,6.05
Domain II-III,FENICS:0127,Effect on ion channel function involving multiple biophysical properties,0.2794,2.27,0.22,12.95
Domain IV,FENICS:0084,Decrease in peak current,0.2797,1.5,0.71,3.09
Domain IV,FENICS:0102,Effect on entry into slow inactivation,0.2802,2.02,0.4,8.9
Domain I-II,FENICS:0055,Slowing of recovery from fast inactivation,0.2906,2.29,0.21,14.74
Domain II-III,FENICS:0092,Increase in peak current,0.2927,3.54,0.07,33.8
Domain IV,FENICS:0002,Assessment of single biophysical property on ion channel function,0.2969,3.56,0.49,157.93
Domain IV,FENICS:0048,Slowing of fast inactivation,0.3033,1.52,0.64,3.45
Domain IV,FENICS:0007,Effect on ion channel biophysical properties,0.3036,3.94,0.55,173.44
Domain III-IV,FENICS:0059,Effect on shift of voltage dependence of fast inactivation,0.3044,1.78,0.58,5.54
Domain II-III,FENICS:0021,Effect on shift of voltage dependence of activation,0.3099,2.06,0.43,10.71
Domain C,FENICS:0140,Overall gain-of-function effect with respect to biophysical channel activity,0.3109,1.71,0.6,4.45
Domain C,FENICS:0058,Effect on voltage dependence of fast inactivation,0.3195,1.54,0.65,3.69
Domain II-III,FENICS:0034,Decrease in slope of activation,0.3233,3.08,0.06,28.57
Domain IV,FENICS:0004,Component leading to Loss-of-Function (LoF),0.3275,1.45,0.72,3.02
Domain I,FENICS:0128,Effect on ramp current,0.3294,1.98,0.19,11.19
Domain IV,FENICS:0037,Effect on fast inactivation,0.3303,1.41,0.7,2.94
Domain C,FENICS:0022,Depolarizing shift of voltage dependence of activation,0.3351,1.84,0.49,5.74
Domain N,FENICS:0141,Overall loss-of-function,0.3362,3.07,0.34,37.54
Domain II,FENICS:0009,Effect on rate of activation,0.3368,4.44,0.06,353.12
Domain I,FENICS:0120,Decrease in slope of slow inactivation,0.342,3.42,0.06,67.79
Domain C,FENICS:0034,Decrease in slope of activation,0.3461,1.9,0.18,10.69
Domain C,FENICS:0117,Hyperpolarizing shift of voltage dependence of slow inactivation,0.3525,3.28,0.05,64.96
Domain II-III,FENICS:0072,Decrease in slope of fast inactivation,0.3527,2.73,0.06,24.67
Domain II,FENICS:0001,Effect on ion channel function,0.3565,4.09,0,Inf
Domain II-III,FENICS:0033,Effect on slope of activation,0.3627,1.82,0.18,10.23
Domain IV,FENICS:0033,Effect on slope of activation,0.3656,1.56,0.61,3.81
Domain C,FENICS:0040,Increase in persistent current,0.3683,1.52,0.59,3.73
Domain I-II,FENICS:0145,Overall mixed or unclear functional effect not able to be clearly categorized as Gain- or Loss-of-Function,0.3702,2.31,0.33,14.17
Domain IV,FENICS:0101,Effect on slow inactivation,0.3754,1.48,0.58,3.58
Domain III,FENICS:0021,Effect on shift of voltage dependence of activation,0.3978,1.43,0.57,3.55
Domain III,FENICS:0114,Effect on voltage dependence of slow inactivation,0.3998,1.93,0.33,7.92
Domain III,FENICS:0039,Decrease in persistent current,0.4036,2.48,0.05,32.26
